"JASID","自治体コード","遺跡名","緯度","経度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
6.47374457837952e-314,13103,"港区№49遺跡",35.65140484,139.724762,"0","0","0","1","0","0","0","0","0"
6.47374462778608e-314,13103,"港区№50遺跡",35.65173961,139.729311,"0","1","0","0","0","0","0","0","0"
6.47374467719265e-314,13103,"本村町貝塚",35.64860108,139.7295685,"0","1","0","0","0","0","0","0","0"
6.47374472659921e-314,13103,"港区№52遺跡",35.65254864,139.7501336,"0","0","0","0","1","0","0","0","0"
6.47374477600578e-314,13103,"寿林寺跡遺跡",35.65000995,139.7539444,"0","0","0","0","0","0","0","1","0"
6.47374482541234e-314,13103,"猫塚（オセンチ山）遺跡",35.653812,139.741333,"0","0","0","1","0","0","0","0","0"
6.47374487481891e-314,13103,"済海寺（牧野家墓所）遺跡",35.64378842,139.7412415,"0","0","0","0","0","0","0","1","0"
6.47374492422547e-314,13103,"亀塚公園遺跡",35.64321646,139.7405892,"0","0","1","0","0","0","0","0","0"
6.47374497363203e-314,13103,"亀塚遺跡",35.64355127,139.740881,"0","0","0","1","0","0","0","0","0"
6.4737450230386e-314,13103,"正泉寺跡遺跡",35.64316066,139.7381688,"0","0","0","0","0","0","0","1","0"
6.47374507244516e-314,13103,"宗清寺跡遺跡",35.64320251,139.7370873,"0","0","0","0","0","0","0","1","0"
6.47374512185173e-314,13103,"伊皿子貝塚遺跡",35.64150056,139.739954,"0","1","1","1","0","1","0","1","0"
6.47374517125829e-314,13103,"港区№61遺跡",35.64282586,139.7409325,"0","0","0","1","0","0","0","0","0"
6.47374522115892e-314,13103,"品川台場(第三)遺跡",35.629028,139.756165,"0","0","0","0","0","0","0","1","0"
6.47374522165299e-314,13103,"品川台場(第六)遺跡",35.629028,139.756165,"0","0","0","0","0","0","0","1","0"
6.47374522214705e-314,13103,"品川台場(第一)遺跡",35.629028,139.756165,"0","0","0","0","0","0","0","1","0"
6.47374522264112e-314,13103,"品川台場（第五）遺跡",35.629028,139.756165,"0","0","0","0","0","0","0","1","0"
6.47374527007142e-314,13103,"長応寺跡遺跡",35.63963117,139.7375679,"0","0","0","0","0","0","0","1","0"
6.47374531947799e-314,13103,"信濃飯山藩本多家屋敷跡遺跡",35.63236242,139.7332249,"0","1","0","0","1","1","1","1","0"
6.47374536888455e-314,13103,"港区№65遺跡",35.64336992,139.7242985,"0","1","0","0","0","0","0","0","0"
6.47374541829112e-314,13103,"港区№66遺跡",35.6363945,139.719492,"0","1","0","0","0","0","0","1","0"
6.47374546769768e-314,13103,"旧白金御料地遺跡",35.63854299,139.7184964,"0","0","0","0","0","0","1","0","0"
6.47374551710425e-314,13103,"港区№68遺跡",35.639008,139.719772,"0","1","0","0","0","0","0","0","0"
6.47374556651081e-314,13103,"港区№69遺跡",35.639008,139.719772,"1","1","1","0","0","0","0","1","0"
6.47374561591737e-314,13103,"旧海軍基地貝塚",35.63866054,139.730617,"0","1","0","0","0","0","0","0","0"
6.47374566532394e-314,13103,"港区№71遺跡",35.63218105,139.7287446,"0","0","0","1","0","0","0","0","0"
6.4737457147305e-314,13103,"清徳寺跡遺跡",35.66147527,139.7321949,"0","0","0","0","0","0","0","1","0"
6.47374576413707e-314,13103,"芝神明町町屋跡遺跡",35.65847501,139.7552888,"0","0","0","0","0","0","0","1","0"
6.47374581354363e-314,13103,"雁木坂上遺跡",35.661404,139.740219,"0","0","1","0","0","0","0","0","0"
6.4737458629502e-314,13103,"三田台町遺跡",35.64187723,139.7391129,"1","1","1","1","1","1","0","0","0"
6.47374591235676e-314,13103,"三田台町町屋跡遺跡",35.64177957,139.7388211,"0","0","0","0","0","0","0","1","0"
6.47374596176333e-314,13103,"港区№77遺跡",35.66307916,139.7455502,"0","0","0","0","0","0","0","1","0"
6.47374601116989e-314,13103,"西教寺跡遺跡",35.67401449,139.7363032,"0","0","0","0","0","0","0","1","0"
6.47374606057646e-314,13103,"芝金杉通町町屋跡遺跡",35.65062371,139.7540818,"0","0","0","0","0","0","0","1","0"
6.47374610998302e-314,13103,"西久保城山地区武家屋敷跡遺跡",35.6647946,139.7429924,"0","0","0","0","0","0","0","1","0"
6.47374615938958e-314,13103,"専修寺跡遺跡",35.67287101,139.7335566,"0","0","0","0","0","0","0","1","0"
6.47374620879615e-314,13103,"麻布市兵衛町地区武家屋敷跡遺跡",35.66466908,139.7418423,"0","0","0","0","0","0","0","1","0"
6.47374620978428e-314,13103,"麻布市兵衛町地区武家屋敷跡第2遺跡",35.66526878,139.7412243,"0","0","0","0","0","0","0","1","0"
6.47374625820271e-314,13103,"陸奥八戸藩南部家屋敷跡遺跡",35.66317679,139.7407608,"0","0","0","0","0","0","0","1","0"
6.47374630760928e-314,13103,"佐土原藩島津家屋敷跡遺跡",35.65166987,139.7392674,"0","0","0","0","0","0","0","1","0"
6.47374635701584e-314,13103,"港区№85遺跡",35.64946593,139.7504597,"0","0","0","0","0","0","0","1","0"
6.47374640642241e-314,13103,"麻布本村町町屋跡遺跡",35.649173,139.7318001,"0","0","0","0","0","0","0","1","0"
6.47374645582897e-314,13103,"春桃院跡遺跡",35.65253469,139.7325211,"0","0","0","0","0","0","1","1","0"
6.47374650523554e-314,13103,"越後長岡藩牧野家屋敷跡第1遺跡",35.66503011,139.7506197,"0","0","0","0","0","0","0","1","0"
6.4737465546421e-314,13103,"北新網町町屋跡",35.65444405,139.7551578,"0","0","0","0","0","0","0","1","0"
6.47374660404867e-314,13103,"港区№90遺跡",35.65134905,139.753378,"0","0","0","0","0","0","0","1","0"
6.47374665345523e-314,13103,"港区№91遺跡",35.65175356,139.7350274,"0","0","0","0","0","0","0","1","0"
6.4737467028618e-314,13103,"港区№92遺跡",35.67295811,139.7289226,"0","0","0","0","0","0","0","1","0"
6.47374675325649e-314,13103,"伊勢菰野藩土方家屋敷跡第2遺跡",35.66772104,139.7512459,"0","0","0","0","0","0","0","1","0"
6.47374680167492e-314,13103,"港区№94遺跡",35.64692715,139.7439537,"0","0","0","0","0","0","0","1","0"
6.47374685108149e-314,13103,"福岡藩黒田家屋敷跡遺跡",35.66994249,139.741041,"0","0","0","0","0","0","0","1","0"
