100-240		弥生後期中葉-末葉	赤羽台遺跡　国立王子病院跡地地区 あかばねだいいせき　こくりつおうじびょういんあとちちく	東京都北区赤羽台4-17	集落	35.78183533	139.7112115	19.8～20
240-400	五領式	古墳前期	石川天野遺跡 いしかわあまのいせき	東京都八王子市石川町1920ほか	墓	35.68100487	139.3551347	119.3～120
100-150		弥生後期中葉	西台後藤田遺跡　第3地点 にしだいごとうだいせき　だいさんちてん	東京都板橋区西台1-408	包蔵地	35.7698912	139.6634382	29.4～30.1
B2500-B2000	堀之内式	縄文後期前葉	西台後藤田遺跡　第1地点 にしだいごとうだいせき	東京都板橋区西台1-15?21	集落-	35.7732244	139.6728817	19.1～19.1
1-240		弥生後期前葉-後葉	西台後藤田遺跡　第1地点 にしだいごとうだいせき	東京都板橋区西台1-15?21	集落,墓	35.7732244	139.6728817	23～27
100-150		弥生後期中葉	西早稲田三丁目遺跡 にしわせださんちょうめいせき	東京都新宿区西早稲田3-17-6	墓	35.71239922	139.7128808	15.1～17.1
240-400	五領式	古墳前期	西早稲田三丁目遺跡 にしわせださんちょうめいせき	東京都新宿区西早稲田3-17-6	墓	35.71239922	139.7128808	15.1～17.1
100-240		弥生後期後半	西早稲田三丁目遺跡 にしわせださんちょうめいせき	東京都新宿区西早稲田3-191	集落	35.7126769	139.7106588	14.8～14.8
240-400	五領式	古墳前期	西早稲田三丁目遺跡 にしわせださんちょうめいせき	東京都新宿区西早稲田3-191	集落	35.7126769	139.7106588	14.8～14.8
B2500-B2000	堀之内式	縄文後期前葉	西ヶ原貝塚 にしがはらかいづか	東京都北区西ヶ原3-1-4,5,1-31,3-17-5	集落,貝塚	35.74350747	139.7425993	22.1～23
B2000-B1500	加曽利B式	縄文後期中葉	西ヶ原貝塚 にしがはらかいづか	東京都北区西ヶ原3-1-4,5,1-31,3-17-5	集落,貝塚	35.74350747	139.7425993	22.1～23
