JASID,自治体コード,遺跡番号,種類,所在地（代表地番）,時代,名称・備考,旧市番号,地図,経度,緯度
14134009400,14134,高津区No.94,古墳,高津区千年449,古墳,千年伊勢山台古墳,千年-4,49,139.6236904,35.57870301
14134009500,14134,高津区No.95,官衙跡 集落跡,高津区千年520ほか,縄文　弥生　古墳　奈良　平安 中世,千年蟻山遺跡・伊勢山台北遺跡・千年伊勢山台遺跡・伊勢山台東遺跡・影向寺南遺跡,千年-5,49,139.6224222,35.57739323
14134009600,14134,高津区No.96,散布地,高津区千年300,縄文　弥生　古墳　奈良　平安,下原宿遺跡,千年-6,49,139.6242998,35.57575445
14134009700,14134,高津区No.97,その他の墓,高津区子母口54,中世,,千年-19,49,139.6233041,35.57507031
14134009800,14134,高津区No.98,古墳,高津区子母口69,古墳,子母口富士見台古墳,千年-7,49,139.6253919,35.57436522
14134009900,14134,高津区No.99,集落跡,高津区子母口113ほか,縄文　古墳　奈良　平安　中世,子母口植之台遺跡,千年-23,49,139.6255529,35.57389748
14134010000,14134,高津区No.100,集落跡,高津区子母口135ほか,縄文　弥生　古墳　中世　近世,子母口植之台遺跡・蓮乗院北遺跡,千年-1,49,139.6261709,35.57233368
14134010100,14134,高津区No.101,集落跡,高津区子母口240ほか,縄文　弥生　古墳　奈良　平安,子母口貝塚・子母口根方遺跡,千年-2,49,139.6283484,35.57222184
14134010200,14134,高津区No.102,古墳,高津区明津183,古墳,明津古墳（水塚）,井田-12,49,139.6340676,35.56814996
14134010300,14134,高津区No.103,横穴墓,高津区蟹ヶ谷108ほか,古墳,蟹ヶ谷横穴墓群,井田-5・15,49,139.634664,35.566327
14134010400,14134,高津区No.104,古墳,高津区蟹ヶ谷109,古墳,蟹ヶ谷古墳群,井田-6,42,139.6354982,35.56596181
14134010500,14134,高津区No.105,散布地,高津区蟹ヶ谷97,縄文　弥生,,井田-7,42,139.6356005,35.56562045
14134010600,14134,高津区No.106,集落跡,高津区末長1-18,縄文　弥生　古墳　奈良　平安,末長久保台南遺跡,宮崎-3,52,139.608902,35.594135
14134010700,14134,高津区No.107,横穴墓,高津区久末676,古墳,久末秋谷横穴墓,久末-11,49,139.6185908,35.56835392
14134010800,14134,高津区No.108,横穴墓,高津区蟹ヶ谷111,古墳,蟹ヶ谷横穴墓群 (３号穴）,井田-14,42,139.635981,35.56616025
14134010900,14134,高津区No.109,集落跡,高津区梶ヶ谷2-14-1,古墳,鎗ヶ崎遺跡,宮崎-34,52,139.601732,35.58792401
14134011000,14134,高津区No.110,横穴墓,高津区千年1117ほか,古墳,千年Ｂ地区横穴墓,千年-25,49,139.6213064,35.57984173
14134011100,14134,高津区No.111,散布地,高津区久末308ほか,縄文,,久末-12,49,139.6129557,35.5619254
14134011200,14134,高津区No.112,横穴墓,高津区千年112,古墳,,千年-9,48,139.6203966,35.58087486
14134011300,14134,高津区No.113,古墳,高津区久本1-14,古墳,久本桃之園古墳,末長-16,51,139.6108432,35.59637713
14134011400,14134,高津区No.114,古墳,高津区末長2-25,縄文　古墳,末長久保台古墳群,末長-17,52,139.6115231,35.5931533
14134011500,14134,高津区No.115,集落跡,高津区子母口54-2,弥生,子母口富士見台遺跡,千年-27,49,139.6254713,35.57459909
14134011600,14134,高津区No.116,散布地,高津区久末2035ほか,中世　近世,久末表耕地遺跡,久末-13,49,139.6233629,35.56906605
14134011700,14134,高津区No.117,横穴墓,高津区蟹ヶ谷209,古墳,蟹ヶ谷西田原横穴墓群,久末-14,49,139.6304697,35.56489095
14134011800,14134,高津区No.118,横穴墓,高津区新作3-10-5ほか,古墳,,千年-26,48,139.614166,35.586277
